Time,Category,Message,
5/18/2026 8:41:53 AM,Order,Order='d680cab9127a4cea86a186c1a73d745f/PA-APEX-41998-52' Name='Entry' New state='Submitted' Instrument='MNQ 06-26' Action='Sell' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:41:53 AM,Order,Chart Trader submitting order with strategy '1-400-400 - 1' (Ticks),
5/18/2026 8:41:07 AM,Order,Order='2755727890/PA-APEX-41998-52' Name='Target1' New state='Cancelled' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=28831.25 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:41:07 AM,Strategy,Cancelling any remaining strategy orders,
5/18/2026 8:41:07 AM,Order,Order='2755727889/PA-APEX-41998-52' Name='Stop1' New state='Filled' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29057.25 Quantity=1 Type='Stop Market' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=1 Fill price=29058 Error='No error' Native error='',
5/18/2026 8:41:07 AM,Execution,Execution='1131062,
5/18/2026 8:41:07 AM,Order,Order='2755727890/PA-APEX-41998-52' Name='Target1' New state='Cancel submitted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=28831.25 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:41:07 AM,Position,Instrument='MNQ 06-26' Account='PA-APEX-41998-52' Average price=29063.5 Quantity=1 Market position=Flat Operation=Remove,
5/18/2026 8:41:07 AM,Order,Order='2755727889/PA-APEX-41998-52' Name='Stop1' New state='Working' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29057.25 Quantity=1 Type='Stop Market' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:40:53 AM,Order,Order='2755727889/PA-APEX-41998-52' Name='Stop1' New state='Accepted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29057.25 Quantity=1 Type='Stop Market' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:40:53 AM,Order,Order='2755727889/PA-APEX-41998-52' Name='Stop1' New state='Change submitted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=0 Stop price=29057.25 Quantity=1 Type='Stop Market' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:40:50 AM,Order,Order='2755726059/PA-APEX-41998-52' Name='Entry' New state='Cancelled' Instrument='MNQ 06-26' Action='Sell' Limit price=29082 Stop price=0 Quantity=1 Type='Limit' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:40:50 AM,Order,Order='2755726059/PA-APEX-41998-52' Name='Entry' New state='Cancel submitted' Instrument='MNQ 06-26' Action='Sell' Limit price=29082 Stop price=0 Quantity=1 Type='Limit' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:40:10 AM,Order,Order='2755727890/PA-APEX-41998-52' Name='Target1' New state='Accepted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=28831.25 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:40:10 AM,Order,Order='2755727890/PA-APEX-41998-52' Name='Target1' New state='Working' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=28831.25 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:40:10 AM,Order,Order='2755727890/PA-APEX-41998-52' Name='Target1' New state='Change submitted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=28831.25 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:39:51 AM,Order,Order='2755727890/PA-APEX-41998-52' Name='Target1' New state='Working' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=28890.25 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:39:51 AM,Order,Order='2755727890/PA-APEX-41998-52' Name='Target1' New state='Accepted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=28890.25 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=0 Fill price=0 Error='No error' Native error='',
5/18/2026 8:39:51 AM,Order,Order='2755727890/PA-APEX-41998-52' Name='Target1' New state='Change submitted' Instrument='MNQ 06-26' Action='Buy to cover' Limit price=28890.25 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='99900b85168645268806d36b26b7f791' Filled=0 Fill price=0 Error='No error' Native error='',
